user_id	pos	neg
0	2,0,6,1,5,3,4	128,353,290,131,160
1	8,12,11,11,9,13,14,19,15	129,130,259,330,267
2	31,30,23,24,28,33,6,25,32,27,29,34,35	98,356,327,328,361
3	48,48,55,44,46,47,49,58,41,43,51,56,39,40,54	160,256,289,292,298
4	62,63,64,66,61,65,5,35,4,60	295,8,137,103,267
5	71,74,76,67,68,72,75,20,69,70,70,73	37,102,295,201,169
6	83,30,23,74,33,85,84,77,78,79,80,82	322,291,319,230,107
7	108,83,88,96,100,101,46,90,97,106,92,93,94,95,103,1,35,80,91,99,102,107	224,353,356,198,199
8	110,111,113,115,112,114,116	194,3,100,232,173
9	119,85,117,121,118,120,122	257,262,106,77,237
10	8,123,15,20,124,125,126	259,132,297,107,236
11	62,62,8,108,71,135,138,144,88,9,30,64,96,142	163,167,120,367,178
12	154,74,145,157,56,151,155,35,82,156,158,159	1,191,3,293,70
13	161,160,75,162,113,10,147	323,100,356,197,329
14	55,66,164,163,165,122,166	351,103,300,205,173
15	6,5,163,167,16	258,197,198,12,333
16	108,181,71,184,88,182,186,9,64,96,100,161,177,74,134,149,176,188,189,56,76,178,191	288,226,227,293,147
17	119,193,24,163,194,126,141,166,195,196	134,167,104,268,332
18	47,92,197,199,27,198,42	259,260,8,43,140
19	55,11,200,94,79,174	352,68,134,297,362
20	83,201,136,198,202	68,134,71,39,138
21	8,182,2,24,66,209,33,85,205,190,204,208,210	0,71,72,9,265
22	58,56,76,212,114	288,96,36,133,70
23	184,123,44,215,188,216,43,214	160,318,322,195,163
24	101,74,67,95,170,175,217,218	352,196,263,72,73
25	55,66,19,65,151,150,153,190	64,1,292,38,199
26	88,44,34,113,168,219,4	353,162,198,102,135
27	11,228,123,44,227,134,225,171,172,221,223	3,296,174,111,15
28	154,32,230,112,229,231	1,290,355,100,163
29	234,103,162,124,235,112,118,120,232,233	89,98,100,356,8
30	9,46,33,61,239,92,169,240,27,70,70,150,175,217,219,141,236,237,238	160,128,2,258,324
31	241,240,242,116,243	128,352,258,355,226
32	8,19,191,151,34,115,244	67,42,173,28,79
33	58,246,247,245,211	96,257,8,298,107
34	62,8,11,184,100,161,97,149,188,13	32,321,1,228,70
35	48,255,66,209,240,251,254	4,217,296,139,43
36	245,256,257,218,236	192,290,357,263,360
37	48,88,123,123,2,30,246,260,164,180,258	320,6,232,328,201
38	123,262,263,265,261,264	134,198,39,105,173
39	47,134,266,19,225,271,268,269,115,153,192,253,3,21,109,133,166,267,270	196,71,299,12,110
40	62,12,71,123,9,96,101,177,90,246	160,97,135,361,139
41	276,58,209,14,275,115,262,109,147,274	32,288,290,261,359
42	181,279,138,186,66,149,14,41,54,187,269	289,102,281,168,297
43	144,161,247,241,281,17,52,121	288,291,35,293,263
44	283,63,56,282,236	354,227,195,328,40
45	33,56,20,91,150,153,87,116,277,284	162,133,327,39,364
46	8,287,279,286,285	223,326,102,71,59
47	290,288,235,109,289	225,98,97,356,229
48	216,247,28,85,238,274	96,69,281,168,73
49	62,291,123,64,74,106,143,145,157,266,14	100,261,358,327,231
50	108,143,209,212,5,121,218	288,289,353,99,291
51	48,144,286,40,53,122,196,292,293	225,98,99,353,202
52	31,227,276,294,296,301,300,212,295,297,299,17,113,121,165,190,214,298	224,129,164,228,234
53	2,23,189,209,146,57,179,208,251	0,1,128,133,313
54	96,302,239,69,218	258,291,261,294,103
55	154,142,161,97,106,52,99,303,122	294,39,10,235,364
56	0,72,92,132,80,218,261	64,353,194,228,292
57	191,15,39,269,107,303,304	289,34,66,133,7
58	108,283,276,286,302,306,134,271,299,305,91,253	259,100,6,264,12
59	283,138,228,44,137,164,81,130,307	194,197,262,328,72
60	308,308,308,308,308	65,344,217,5,362
61	309,39,248,282,152,280	32,321,34,122,206
62	181,279,83,312,30,193,23,47,160,266,111,131,225,25,169,223,258,313	192,290,195,68,5
63	135,24,246,43,127,131,239,271,316,25,40,140,169,268,315,319,124,156,303,318,53,130,267,280,292,314,317	166,295,72,139,46
64	296,106,14,93,320,272	65,99,227,4,326
65	83,9,177,61,201,225,0,95,139,320,89,174,226,244,273	289,361,330,235,300
66	287,44,322,262,307,321	64,128,35,67,227
67	31,234,324,323,263	96,289,290,99,293
68	8,100,127,326,34,192,303,4,16,325	351,135,366,176,208
69	108,30,97,134,41,61,326,69	321,226,261,232,171
70	55,328,329,305,327,167,204	64,161,98,68,262
71	110,47,49,330,141	289,322,163,327,7
72	108,291,149,331,114,252	192,97,352,96,230
73	135,296,93,132,102,333,105,237,293,332	229,39,232,137,138
74	142,290,301,68,146,197,258	32,163,69,293,264
75	96,169,185,79,80,124,81,98	257,2,7,170,45
76	291,30,101,276,97,33,309,36,126,238	289,67,69,102,332
77	302,84,240,315,29,38	226,324,136,201,236
78	62,108,90,266,18,99,165,129,166,332	194,354,39,296,233
79	181,335,306,337,322,28,300,305,336	34,325,294,230,232
80	306,216,275,128,214,339,338	356,261,326,358,299
81	62,11,228,123,9,49,90,246,13	162,287,262,7,328
82	39,258,37,163,331,304,340	261,294,102,360,169
83	2,85,103,212,341,342,195	132,357,293,168,329
84	28,326,27,52,59,220,317	96,129,136,365,237
85	228,100,47,51,316,297,341,343,331	64,225,323,217,69
86	71,65,324,345,185,223,319,224,220	4,231,60,367,271
87	11,291,227,160,266,225,288,139,249,319,333	33,35,232,73,43
88	287,106,319,339,338	64,320,359,136,329
89	101,193,43,271,273	322,195,261,326,294
90	88,193,296,178,347,67,136,199,268,313,330,343,37,194,222,263,89,203,231,237,289,292,346	129,132,38,7,168
91	266,348,86,272,307	96,292,357,38,103
92	55,83,288,309,345,103,203,349	325,261,73,41,171
93	48,287,12,181,154,2,110,137	288,249,199,313,10
94	186,306,176,216,269,297,318	320,256,66,164,357
95	290,350,351,257,233	320,226,99,100,102
96	119,337,301,271,352	194,2,164,198,167
97	184,312,101,241,316,202,349	128,321,2,257,169
98	31,135,228,227,296,134,350,354,205,93,315,29,331	194,66,153,261,230
99	144,312,275,180,319,128,206,352	98,195,34,326,167
100	279,328,30,26,353	0,287,357,37,41
101	88,255,227,355,246,281,333,334,274	321,2,98,319,141
102	12,71,154,142,189	0,193,321,304,113
103	48,48,283,31,83,335,2,139,164,172,330	191,290,227,195,69
104	181,182,312,210,207	352,67,260,325,168
105	287,55,71,142,234,309	96,97,323,360,106
106	281,222,262,183,280,307	96,132,6,105,108
107	31,23,54,223,323,217,235,256,133	66,5,137,298,75
108	221,248,315,37,7,261,356	64,289,352,70,359
109	62,12,61,185,295,52	2,259,354,263,72
110	287,328,63,188,136	32,193,160,291,358
111	142,137,145,13,288,0,68,45,310	356,357,326,133,201
112	48,315,341,242,251	257,194,322,100,5
113	177,160,95,169,185,262	32,64,290,261,230
114	138,144,328,101,142,47,265,344,357	0,161,66,130,248
115	62,100,294,355,32,299,358,348,10,353	96,257,128,344,8
116	12,139,1,82,348	36,5,298,11,204
117	283,234,359,277,344	320,164,287,38,39
118	64,157,315,73,105	65,99,196,293,6
119	216,40,323,360,81,233	320,261,199,264,300
120	286,160,242,251,293	352,324,261,6,265
121	228,97,275,80,250	131,5,262,133,138
122	97,200,0,117,172	160,185,325,69,295
123	276,65,345,148,342,252	1,162,2,262,167
124	48,181,279,186,312,49,176,239,351,249,258,313,327,330	0,193,36,261,198
125	327,245,263,220,361	256,3,299,141,177
126	328,335,2,110,316	32,353,33,355,163
127	62,246,61,201,225,148,124,130	198,39,328,73,362
128	88,169,343,217,222	258,163,66,261,71
129	88,335,46,47,189,271,164,197,221,249,258,323,42,45,229,314	160,260,68,38,295
130	7,38,261,325,362,362	356,324,137,298,218
131	62,154,286,145,242,363	130,185,287,357,326
132	108,144,149,57,254	290,259,72,73,136
133	62,62,64,74,157,258,242	256,6,42,268,44
134	48,101,46,290,354,127,360,45	196,135,8,200,362
135	302,306,299,336,285	257,162,72,105,300
136	291,312,24,326,208	224,40,250,299,364
137	291,337,143,209,301,140,359	96,256,167,40,218
138	83,142,290,323,336,27,360,254	193,166,106,18,146
139	62,96,155,333,98	192,225,229,40,298
140	287,63,189,260,155,364,210	320,58,229,262,198
141	181,186,49,90,188,290,43,61,351,95,132,281,360	320,322,228,260,326
142	186,28,241,260,323,357	289,195,229,133,135
143	201,201,288,362,362	160,321,4,294,41
144	287,283,228,286,7,362	225,4,199,73,297
145	177,329,73,175,173	161,162,3,353,261
146	55,228,355,246,51,111,241,67,164,187,297,358	0,130,197,102,264
147	186,260,300,324,345,364,167	353,98,293,70,359
