original	item_id
B0BBM75S58	0
B0BHS9NNGD	1
B0C5RMSPWM	2
B09RZR1DNF	3
B09VT8C4CZ	4
B08NGGJRVV	5
B01I4E5YGS	6
B0C4724DP3	7
B08762P9JP	8
B0C5BV7DPD	9
B0C7SB4412	10
B088R7Z5GS	11
B082FBW11C	12
B0C54J5D2B	13
B0BQV3785S	14
B09KLYL2ZX	15
B07SK9SG15	16
B07QQGWLVL	17
B07N92R1J8	18
B0B9QPGPQW	19
B0BXX7LB93	20
B01IQ94NL8	21
B07R472B9Y	22
B0C4M24BRF	23
B09L61R2DN	24
B07J67M3ZM	25
B07MP9HZLZ	26
B07M93T4C1	27
B07XM9DX9H	28
B07CMNFKHH	29
B0746FR8FD	30
B0C5N592QY	31
B072QWP8LF	32
B01GL96X9K	33
B06ZY1X7WL	34
B09JXK8JS8	35
B07PXV2688	36
B00APIN8H4	37
B00W7B84V2	38
B00PX8PM8E	39
B079Z21S42	40
B0C3RDQCL4	41
B00MOJWOFY	42
B00HHRH07U	43
B00DDMJ332	44
B00BEJREIC	45
B00BE6CUWK	46
B09WRKYRQZ	47
B07M6GDQLR	48
B09NS5FJ6D	49
B08DQR6DSP	50
B09VDCYQ43	51
B09R7TR68C	52
B07HT4C29K	53
B08TWR9RPR	54
B0B75LV7TV	55
B0CD1JGNQH	56
B0C7MKF6DV	57
B09TT3PWQS	58
B077MQDK5Y	59
B09X1W31LG	60
B0C1JW5V11	61
B00PTL49KC	62
B0BQ7F2RW9	63
B01FB8ZSR0	64
B07FK63PSH	65
B0BN714TVL	66
B09GVN6PY8	67
B00ILITQ7G	68
B0B2CBQGSS	69
B0080HPXHU	70
B00E1ABYSC	71
B0056Z2BTM	72
B09YVDH7ZW	73
B089MS68G8	74
B008KFISR4	75
B000CSCIRS	76
B09SV653ZL	77
B0C6N16W3S	78
B09K4SCPYT	79
B092S44VZ1	80
B0B77RNRJG	81
B0BTTSCPH9	82
B093TRFX2C	83
B08SV3W85G	84
B01M24TAD7	85
B07C2HRMRF	86
B09BNX78XR	87
B073F7FPN8	88
B0C5B1WSGJ	89
B07FS18RMQ	90
B07H4SF2C4	91
B09V3B8XY6	92
B00JF3S29Y	93
B07RYDK3RB	94
B08716GMGC	95
B0BM5NFFF3	96
B07LFY4JLZ	97
B01M0O85PT	98
B09FLNTL39	99
B0C45QGM74	100
B07ZZLDRTM	101
B003CK3LDI	102
B084HFXMQ6	103
B08VG6KB93	104
B00BKZUY78	105
B0BG5P2QP9	106
B075F2HPNY	107
B09LKBKDZ8	108
B07FKM3NGR	109
B09ZY4DZQF	110
B01M8I7XIU	111
B0C9R9WP93	112
B00BDI2L64	113
B001QC3CKG	114
B004KQBIQK	115
B07RPNV8CB	116
B09RT99FP7	117
B099WGN5YZ	118
B076BBRPYH	119
B0006FHBB0	120
B0BRJ1FYVK	121
B0C68XP6K8	122
B06ZZHNFW1	123
B0C7RBW4FP	124
B0B1MYVDQR	125
B09PZNF9TZ	126
B08941NND2	127
B08XF5BM9Q	128
B08DPPV4WW	129
B0B7BW2HR5	130
B0B64QZ799	131
B082LHWK6D	132
B07D7DX9MR	133
B09YYZTK1W	134
B07S76MGJJ	135
B01CUBZKAG	136
B07DT4GRYY	137
B098F5BCS8	138
B0BRPLHD1X	139
B07GLZXBWT	140
B071FTD6VM	141
B07CTMRHPN	142
B0BC2VLLRH	143
B0BXX7KG9F	144
B08K41XMBJ	145
B07BH5JT9Y	146
B0781ZPCMB	147
B0BFHP8JPG	148
B077TQCPGP	149
B0BRJWF9B2	150
B0BBBS32L2	151
B07BQ22JVL	152
B07K373XG4	153
B075GSYNJ7	154
B09LRWP5HQ	155
B07D7B1JMB	156
B07GLK75P4	157
B07L4JPQ64	158
B07BB8M616	159
B09VNZKJMY	160
B0BHMT9VRR	161
B08W7VYTH2	162
B075GSYRG7	163
B07258QRSV	164
B07KN39NDP	165
B0767KMGRK	166
B07DYB9BNR	167
B071LQDRPX	168
B071YCBK9Y	169
B0018BZ5FK	170
B0BMXN8M4R	171
B0792K2M5S	172
B0B79BRKFH	173
B076BMK9ZK	174
B0BTG5JB8T	175
B01N8PM40P	176
B07VQQ6PPQ	177
B0BZKBLPRS	178
B0BXZK987S	179
B00BJY64L0	180
B00WH31P0M	181
B072549S8P	182
B0BFC2WBK2	183
B0746BYLYJ	184
B0781W14NC	185
B01N0CANPI	186
B07TS6MFT8	187
B06X9JNPTG	188
B0C5RW5SMK	189
B01MF4TSQO	190
B09C77D2SP	191
B08HH4STTH	192
B00J7YSI1S	193
B01IN4290S	194
B06ZY26LQR	195
B06VW4T4Q1	196
B07XH5CT8Q	197
B018MXA3JY	198
B01GJE8CUA	199
B06WLMNLZC	200
B01LXRV2B0	201
B01NAHVNS5	202
B01LY3O79F	203
B01N2TV91P	204
B01MYT2R34	205
B018MQ8H62	206
B0756HYRZ9	207
B01EZOHEGO	208
B084BKKW6R	209
B09RMV7X8S	210
B014D4HQ5U	211
B014D4HZWO	212
B00NO3U09Q	213
B00NOCJYQW	214
B00M382GHC	215
B00O8RQTW4	216
B00OWE5XL6	217
B0BRY4L35M	218
B00C0CVAY6	219
B0BN6VXJHM	220
B09YNQT2N5	221
B094QV61B9	222
B095HVZ3BF	223
B08PJ4G51J	224
B09M6H9PQ5	225
B09KPW9ZJH	226
B096NMWFZW	227
B083K5FH6B	228
B0BG6RPSRC	229
B07M6FL9SK	230
B07XTXNMZ4	231
B092V49NZY	232
B08ZM22VF6	233
B0BTV7NGC2	234
B0177L0BSK	235
B002X9A3QM	236
B0166GGHVM	237
B00GUN3Z1W	238
B014CC6EZ6	239
B0BLZN6Y7H	240
B00O6UCXUK	241
B00JS7XYWW	242
B0BD83BQ3X	243
B08QFZY27L	244
B0B6HBP55N	245
B072XRFJPW	246
B0767QWD4G	247
B06XD9PJ7Z	248
B07FSDSH7S	249
B00CXRUJYU	250
